Iterations,Markets visited,runtimes,population_size
41.0,16.0,0.330847,50.0
41.0,16.0,0.297814,50.0
41.0,14.0,0.30313,50.0
41.0,16.0,0.317282,50.0
41.0,15.0,0.238717,50.0
41.0,17.0,0.308341,50.0
41.0,15.0,0.280894,50.0
49.0,16.0,0.400252,50.0
49.0,17.0,0.388341,50.0
49.0,15.0,0.381875,50.0
49.0,16.0,0.400403,50.0
49.0,16.0,0.399509,50.0
49.0,14.0,0.356217,50.0
49.0,16.0,0.344576,50.0
49.0,14.0,0.353017,50.0
49.0,15.0,0.35932,50.0
49.0,16.0,0.356158,50.0
58.0,15.0,0.445852,50.0
58.0,16.0,0.454861,50.0
58.0,17.0,0.452957,50.0
58.0,14.0,0.419767,50.0
58.0,16.0,0.347586,50.0
58.0,16.0,0.428241,50.0
58.0,15.0,0.481458,50.0
58.0,15.0,0.440086,50.0
58.0,15.0,0.415387,50.0
58.0,15.0,0.405591,50.0
68.0,16.0,0.503602,50.0
68.0,17.0,0.509698,50.0
68.0,16.0,0.540924,50.0
68.0,16.0,0.511079,50.0
68.0,15.0,0.52112,50.0
68.0,15.0,0.528357,50.0
68.0,15.0,0.516702,50.0
68.0,14.0,0.509247,50.0
68.0,16.0,0.515216,50.0
68.0,16.0,0.510899,50.0
81.0,15.0,0.604714,50.0
81.0,17.0,0.646526,50.0
81.0,16.0,0.62898,50.0
81.0,17.0,0.647254,50.0
81.0,15.0,0.609469,50.0
81.0,16.0,0.611381,50.0
81.0,16.0,0.604592,50.0
81.0,15.0,0.651869,50.0
81.0,15.0,0.620108,50.0
81.0,15.0,0.656941,50.0
96.0,16.0,0.747099,50.0
96.0,15.0,0.748378,50.0
96.0,15.0,0.605745,50.0
96.0,16.0,0.759131,50.0
96.0,15.0,0.718983,50.0
96.0,16.0,0.793901,50.0
96.0,16.0,0.781045,50.0
96.0,16.0,0.717276,50.0
96.0,15.0,0.791935,50.0
96.0,16.0,0.789718,50.0
114.0,17.0,0.883636,50.0
114.0,14.0,0.869093,50.0
114.0,16.0,0.936106,50.0
114.0,16.0,0.919081,50.0
114.0,16.0,0.908634,50.0
114.0,16.0,0.884048,50.0
114.0,17.0,0.91209,50.0
114.0,15.0,0.953143,50.0
114.0,15.0,0.849718,50.0
114.0,17.0,0.900102,50.0
135.0,16.0,1.164749,50.0
135.0,16.0,1.112966,50.0
135.0,16.0,1.034043,50.0
135.0,16.0,1.047969,50.0
135.0,16.0,1.013966,50.0
135.0,16.0,0.864689,50.0
135.0,16.0,1.156975,50.0
135.0,16.0,1.081887,50.0
135.0,16.0,1.091008,50.0
135.0,16.0,1.051938,50.0
160.0,16.0,1.261438,50.0
160.0,16.0,1.262536,50.0
160.0,15.0,1.255191,50.0
160.0,15.0,1.159924,50.0
160.0,17.0,1.222033,50.0
160.0,16.0,1.311322,50.0
160.0,16.0,1.384615,50.0
160.0,16.0,1.26404,50.0
160.0,16.0,1.145606,50.0
160.0,16.0,1.133684,50.0
190.0,17.0,1.588902,50.0
190.0,15.0,1.446788,50.0
190.0,15.0,1.502721,50.0
190.0,15.0,1.435955,50.0
190.0,17.0,1.607978,50.0
190.0,16.0,1.521179,50.0
190.0,16.0,1.575927,50.0
190.0,15.0,1.40031,50.0
190.0,15.0,1.57763,50.0
190.0,15.0,1.434537,50.0
225.0,17.0,2.034052,50.0
225.0,17.0,1.728476,50.0
225.0,16.0,1.823881,50.0
225.0,15.0,1.802071,50.0
225.0,17.0,1.944085,50.0
225.0,16.0,1.704994,50.0
225.0,17.0,1.800779,50.0
225.0,17.0,1.964436,50.0
225.0,15.0,1.83988,50.0
225.0,15.0,1.759421,50.0
266.0,16.0,2.080116,50.0
266.0,16.0,2.166713,50.0
266.0,17.0,2.189018,50.0
266.0,16.0,2.155129,50.0
266.0,16.0,2.086605,50.0
266.0,16.0,2.181629,50.0
266.0,16.0,2.202753,50.0
266.0,16.0,2.14361,50.0
266.0,16.0,2.066207,50.0
266.0,16.0,2.091274,50.0
315.0,15.0,2.365424,50.0
315.0,14.0,2.546118,50.0
315.0,17.0,2.449646,50.0
315.0,16.0,2.607447,50.0
315.0,16.0,2.740092,50.0
315.0,16.0,2.492,50.0
315.0,16.0,2.747037,50.0
315.0,17.0,2.499537,50.0
315.0,16.0,2.449294,50.0
315.0,16.0,2.434767,50.0
374.0,16.0,2.988201,50.0
374.0,16.0,2.91322,50.0
374.0,16.0,2.981204,50.0
374.0,17.0,3.164047,50.0
374.0,17.0,2.894078,50.0
374.0,17.0,2.924253,50.0
374.0,17.0,3.049363,50.0
374.0,15.0,2.559501,50.0
374.0,16.0,3.001481,50.0
374.0,17.0,2.968874,50.0
443.0,14.0,3.212989,50.0
443.0,16.0,3.612604,50.0
443.0,17.0,3.74742,50.0
443.0,15.0,3.484748,50.0
443.0,17.0,3.637791,50.0
443.0,17.0,3.739701,50.0
443.0,16.0,3.559071,50.0
443.0,15.0,3.459516,50.0
443.0,16.0,3.479327,50.0
443.0,17.0,3.522686,50.0
524.0,17.0,4.065438,50.0
524.0,16.0,4.155912,50.0
524.0,15.0,4.153975,50.0
524.0,17.0,4.27375,50.0
524.0,17.0,4.280586,50.0
524.0,16.0,3.793247,50.0
524.0,17.0,4.069698,50.0
524.0,16.0,4.123137,50.0
524.0,16.0,4.101472,50.0
524.0,16.0,4.205186,50.0
621.0,17.0,4.962502,50.0
621.0,17.0,5.057463,50.0
621.0,15.0,4.792602,50.0
621.0,17.0,5.037257,50.0
621.0,16.0,5.088981,50.0
621.0,17.0,4.979852,50.0
621.0,18.0,5.29294,50.0
621.0,16.0,4.677236,50.0
621.0,17.0,4.888094,50.0
621.0,16.0,4.996669,50.0
736.0,18.0,6.322347,50.0
736.0,16.0,6.024128,50.0
736.0,17.0,6.129694,50.0
736.0,17.0,6.087107,50.0
736.0,17.0,6.018037,50.0
736.0,18.0,6.164436,50.0
736.0,17.0,6.196525,50.0
736.0,16.0,6.019024,50.0
736.0,16.0,5.867517,50.0
736.0,17.0,6.248236,50.0
871.0,19.0,7.169516,50.0
871.0,16.0,7.0696,50.0
871.0,17.0,7.022983,50.0
871.0,19.0,7.116232,50.0
871.0,16.0,7.266671,50.0
871.0,18.0,7.289748,50.0
871.0,16.0,6.726364,50.0
871.0,17.0,7.219564,50.0
871.0,17.0,7.658902,50.0
871.0,16.0,6.731123,50.0
1032.0,18.0,8.691906,50.0
1032.0,17.0,8.647972,50.0
1032.0,16.0,8.306137,50.0
1032.0,16.0,8.153435,50.0
1032.0,16.0,8.255359,50.0
1032.0,17.0,8.662575,50.0
1032.0,16.0,8.283362,50.0
1032.0,17.0,8.570088,50.0
1032.0,16.0,8.2188,50.0
1032.0,18.0,8.732045,50.0
1223.0,16.0,9.837198,50.0
1223.0,18.0,10.44805,50.0
1223.0,17.0,10.422429,50.0
1223.0,18.0,10.05122,50.0
1223.0,16.0,9.702207,50.0
1223.0,17.0,10.440137,50.0
1223.0,17.0,10.20401,50.0
1223.0,16.0,10.04741,50.0
1223.0,17.0,10.328452,50.0
1223.0,16.0,9.987261,50.0
1448.0,16.0,11.705103,50.0
1448.0,18.0,12.397069,50.0
1448.0,16.0,11.35457,50.0
1448.0,17.0,12.358433,50.0
1448.0,17.0,12.01304,50.0
1448.0,17.0,12.459071,50.0
1448.0,17.0,12.193716,50.0
1448.0,17.0,11.997488,50.0
1448.0,16.0,11.786832,50.0
1448.0,18.0,12.096825,50.0
1715.0,17.0,13.814745,50.0
1715.0,17.0,14.224778,50.0
1715.0,17.0,14.128337,50.0
1715.0,17.0,14.556652,50.0
1715.0,17.0,14.041338,50.0
1715.0,17.0,14.58841,50.0
1715.0,17.0,14.261596,50.0
1715.0,17.0,13.807769,50.0
1715.0,17.0,13.375349,50.0
1715.0,17.0,13.98825,50.0
2032.0,17.0,16.076785,50.0
2032.0,17.0,16.691046,50.0
2032.0,17.0,16.867838,50.0
2032.0,17.0,16.613668,50.0
2032.0,17.0,15.119067,50.0
2032.0,17.0,16.477298,50.0
2032.0,17.0,16.932899,50.0
2032.0,17.0,16.635895,50.0
2032.0,17.0,14.998631,50.0
2032.0,17.0,16.756661,50.0
2407.0,17.0,19.792592,50.0
2407.0,17.0,18.991807,50.0
2407.0,16.0,18.965888,50.0
2407.0,17.0,19.512161,50.0
2407.0,16.0,18.369975,50.0
2407.0,17.0,20.013327,50.0
2407.0,17.0,18.406614,50.0
2407.0,16.0,18.418416,50.0
2407.0,16.0,19.450867,50.0
2407.0,16.0,19.243131,50.0
2851.0,18.0,23.961301,50.0
2851.0,18.0,23.976781,50.0
2851.0,18.0,24.411099,50.0
2851.0,18.0,24.37164,50.0
2851.0,18.0,23.891739,50.0
2851.0,18.0,23.086611,50.0
2851.0,18.0,23.970349,50.0
2851.0,18.0,24.847947,50.0
2851.0,18.0,24.20318,50.0
2851.0,18.0,24.06671,50.0
3377.0,17.0,27.823445,50.0
3377.0,17.0,28.007716,50.0
3377.0,17.0,27.709165,50.0
3377.0,17.0,27.159649,50.0
3377.0,17.0,27.940418,50.0
3377.0,16.0,26.860159,50.0
3377.0,16.0,26.166327,50.0
3377.0,16.0,24.995643,50.0
3377.0,16.0,25.804363,50.0
3377.0,16.0,25.558529,50.0
4000.0,16.0,30.882884,50.0
4000.0,16.0,31.485684,50.0
4000.0,16.0,30.836559,50.0
4000.0,16.0,31.548993,50.0
4000.0,16.0,30.271654,50.0
4000.0,16.0,31.291606,50.0
