Iterations,Markets visited,runtimes,population_size
41.0,15.0,0.300611,50.0
41.0,15.0,0.297679,50.0
41.0,16.0,0.338112,50.0
41.0,16.0,0.268077,50.0
41.0,14.0,0.323789,50.0
41.0,15.0,0.337214,50.0
41.0,14.0,0.310486,50.0
49.0,15.0,0.387162,50.0
49.0,14.0,0.374741,50.0
49.0,15.0,0.368746,50.0
49.0,15.0,0.371175,50.0
49.0,15.0,0.379242,50.0
49.0,15.0,0.335685,50.0
49.0,16.0,0.388778,50.0
49.0,16.0,0.372835,50.0
49.0,14.0,0.374938,50.0
49.0,15.0,0.383516,50.0
58.0,15.0,0.462641,50.0
58.0,17.0,0.383359,50.0
58.0,17.0,0.430521,50.0
58.0,16.0,0.437946,50.0
58.0,16.0,0.445198,50.0
58.0,15.0,0.439059,50.0
58.0,16.0,0.313469,50.0
58.0,15.0,0.474603,50.0
58.0,16.0,0.44719,50.0
58.0,16.0,0.449111,50.0
68.0,15.0,0.513702,50.0
68.0,16.0,0.515252,50.0
68.0,16.0,0.52063,50.0
68.0,15.0,0.472855,50.0
68.0,15.0,0.510922,50.0
68.0,16.0,0.538591,50.0
68.0,15.0,0.524636,50.0
68.0,16.0,0.548045,50.0
68.0,15.0,0.517998,50.0
68.0,16.0,0.52374,50.0
81.0,15.0,0.585631,50.0
81.0,15.0,0.625725,50.0
81.0,16.0,0.644072,50.0
81.0,15.0,0.6265,50.0
81.0,16.0,0.572087,50.0
81.0,15.0,0.647504,50.0
81.0,16.0,0.601297,50.0
81.0,16.0,0.599663,50.0
81.0,17.0,0.643424,50.0
81.0,16.0,0.659223,50.0
96.0,16.0,0.805905,50.0
96.0,17.0,0.521923,50.0
96.0,15.0,0.716502,50.0
96.0,16.0,0.744847,50.0
96.0,14.0,0.660955,50.0
96.0,16.0,0.780377,50.0
96.0,16.0,0.710413,50.0
96.0,16.0,0.683977,50.0
96.0,16.0,0.741815,50.0
96.0,16.0,0.746418,50.0
114.0,16.0,0.871408,50.0
114.0,15.0,0.887614,50.0
114.0,16.0,0.912786,50.0
114.0,16.0,0.884027,50.0
114.0,17.0,0.882118,50.0
114.0,16.0,0.886541,50.0
114.0,14.0,0.608023,50.0
114.0,15.0,0.823973,50.0
114.0,16.0,0.838468,50.0
114.0,16.0,0.88463,50.0
135.0,16.0,0.941825,50.0
135.0,16.0,1.07201,50.0
135.0,17.0,1.182582,50.0
135.0,16.0,1.091818,50.0
135.0,16.0,1.110063,50.0
135.0,15.0,1.081299,50.0
135.0,17.0,1.071257,50.0
135.0,16.0,1.05552,50.0
135.0,16.0,0.981001,50.0
135.0,17.0,1.064601,50.0
160.0,16.0,1.287604,50.0
160.0,15.0,1.36002,50.0
160.0,16.0,1.235152,50.0
160.0,16.0,1.281539,50.0
160.0,16.0,1.256074,50.0
160.0,15.0,1.341894,50.0
160.0,16.0,1.237434,50.0
160.0,15.0,1.307075,50.0
160.0,16.0,1.298138,50.0
160.0,17.0,1.300044,50.0
190.0,17.0,1.653556,50.0
190.0,16.0,1.579107,50.0
190.0,16.0,1.696626,50.0
190.0,17.0,1.523759,50.0
190.0,15.0,1.471426,50.0
190.0,16.0,1.48512,50.0
190.0,16.0,1.520122,50.0
190.0,17.0,1.853723,50.0
190.0,17.0,1.635511,50.0
190.0,16.0,1.598098,50.0
225.0,17.0,1.765584,50.0
225.0,16.0,1.253317,50.0
225.0,17.0,1.817613,50.0
225.0,15.0,1.916085,50.0
225.0,17.0,1.759189,50.0
225.0,16.0,1.675735,50.0
225.0,16.0,1.743836,50.0
225.0,17.0,1.857882,50.0
225.0,16.0,1.77566,50.0
225.0,17.0,1.809937,50.0
266.0,16.0,2.122392,50.0
266.0,16.0,2.194392,50.0
266.0,17.0,2.225073,50.0
266.0,16.0,2.148523,50.0
266.0,15.0,2.037688,50.0
266.0,16.0,2.109448,50.0
266.0,17.0,2.127827,50.0
266.0,15.0,2.07571,50.0
266.0,16.0,2.146236,50.0
266.0,16.0,2.11161,50.0
315.0,16.0,2.125525,50.0
315.0,16.0,1.963567,50.0
315.0,17.0,2.450721,50.0
315.0,16.0,2.520513,50.0
315.0,16.0,2.39031,50.0
315.0,17.0,2.400337,50.0
315.0,15.0,2.462979,50.0
315.0,16.0,2.533088,50.0
315.0,18.0,2.469519,50.0
315.0,16.0,2.502591,50.0
374.0,17.0,2.970875,50.0
374.0,15.0,2.619567,50.0
374.0,15.0,2.909532,50.0
374.0,17.0,2.834665,50.0
374.0,16.0,2.95877,50.0
374.0,16.0,3.021915,50.0
374.0,15.0,2.782301,50.0
374.0,16.0,2.917886,50.0
374.0,16.0,2.773165,50.0
374.0,16.0,2.977188,50.0
443.0,15.0,2.714713,50.0
443.0,18.0,3.715684,50.0
443.0,16.0,3.527141,50.0
443.0,16.0,3.557306,50.0
